name,type,variant
400 Pidge/Porter Delivery Charges,Extra,1_PIECE
500 Pidge/Porter Delivery Charges,Extra,1_PIECE
Affogato,Dessert,1_PIECE
Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Alphonso Mango Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Americano,Drinks,1_PIECE
Assorted Cookie Duo ( Dark Chocolate + Choco Chip ),Dessert,1_PIECE
Banoffee Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS
Banoffee Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Banoffee Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_325ML
Bean-to-Bar 70% Dark Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_700ML
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_160GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML
Boston Cream Pie,Dessert,1_PIECE
Boston Cream Pie,Dessert,2_PIECES
Brownie & Vanilla Ice Cream With Fudge Sauce. It's Classic !,Ice Cream,1_PIECE
Brownie Cheesecake,Dessert,1_PIECE
Butter Waffle Cone,Extra,2_PIECES
Butter Waffle Cones,Extra,1_PIECE
Butter Waffle Cones,Extra,2_PIECES
Cakes & Cookies,Dessert,MINI_TUB_160GMS
Cakes & Cookies,Dessert,MINI_TUB_200ML
Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_700ML
Cakes & Cookies Ice Cream,Ice Cream,FAMILY_TUB_725ML
Cakes & Cookies Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_160GMS
Cakes & Cookies Ice Cream,Ice Cream,MINI_TUB_200ML
Cakes & Cookies Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Cakes & Cookies Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Cakes & Cookies Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Cakes & Cookies Ice Cream,Ice Cream,REGULAR_TUB_300ML
Cappuccino,Drinks,1_PIECE
Cherry & Chocolate,Ice Cream,MINI_TUB_160GMS
Cherry & Chocolate Fudge Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Cherry & Chocolate Fudge Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Cherry & Chocolate Fudge Ice Cream,Ice Cream,MINI_TUB_160GMS
Cherry & Chocolate Fudge Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Cherry & Chocolate Fudge Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Choco Chunk Cookie,Dessert,1_PIECE
Choco Chunk Cookie,Dessert,2_PIECES
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,MINI_TUB_160GMS
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Chocolate & Orange (Contains Alcohol) Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Chocolate Overload,Ice Cream,FAMILY_TUB_500GMS
Chocolate Overload,Ice Cream,MINI_TUB_160GMS
Chocolate Overload,Ice Cream,REGULAR_TUB_220GMS
Chocolate Overload Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Chocolate Overload Ice Cream,Ice Cream,MINI_TUB_160GMS
Chocolate Overload Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Classic Brownie & Ice Cream With Fudge Sauce,Ice Cream,1_PIECE
Classic Brownie & Vanilla Ice Cream With Fudge Sauce,Ice Cream,1_PIECE
Classic Chocolate Lamington,Dessert,1_PIECE
Classic Chocolate Lamington,Dessert,2_PIECES
Classic Night & Day Duo,Combo,DUO_200ML_200ML
Classic Night & Day Duo Ice Creams,Combo,DUO_200ML_200ML
Classic Tiramisu,Dessert,1_PIECE
Coconut & Pineapple,Ice Cream,MINI_TUB_160GMS
Coconut & Pineapple Ice Cream,Ice Cream,MINI_TUB_160GMS
Coconut & Pineapple Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Coffee Banana Cheesecake,Dessert,1_PIECE
Coffee Mascarpone,Ice Cream,JUNIOR_SCOOP_60GMS
Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_500GMS
Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_700ML
Coffee Mascarpone Ice Cream,Ice Cream,FAMILY_TUB_725ML
Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS
Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_160GMS
Coffee Mascarpone Ice Cream,Ice Cream,MINI_TUB_200ML
Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS
Coffee Mascarpone Ice Cream,Ice Cream,PERFECT_PLENTY_300ML
Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_220GMS
Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML
Cream Cheese Fruit Medley Cake,Dessert,1_PIECE
Cup,Extra,1_PIECE
Curious Creations Duo,Combo,DUO_200ML_200ML
Curious Creations Duo Ice Creams,Combo,DUO_200ML_200ML
Custom Diwali Cookie Set,Dessert,1_PIECE
Customised Ice Cream Cake,Ice Cream,1_PIECE
D&N Traditional Plum Cake Eggless 310gm Contains Alcohol,Dessert,1_PIECE
D&N Traditional Plum Cake Eggless 325gm Contains Alcohol,Dessert,1_PIECE
D&N Traditional Plum Cake Eggless Contains Alcohol,Dessert,1_PIECE
Dark Double Chocolate Cookie,Dessert,2_PIECES
Dates & Chocolate,Ice Cream,FAMILY_TUB_500GMS
Dates & Chocolate,Ice Cream,JUNIOR_SCOOP_60GMS
Dates & Chocolate,Ice Cream,MINI_TUB_160GMS
Dates & Chocolate,Ice Cream,MINI_TUB_200ML
Dates & Chocolate,Ice Cream,REGULAR_SCOOP_120GMS
Dates & Chocolate,Ice Cream,REGULAR_TUB_220GMS
Dates & Chocolate Eggless,Ice Cream,FAMILY_TUB_700ML
Dates & Chocolate Eggless,Ice Cream,FAMILY_TUB_725ML
Dates & Chocolate Eggless,Ice Cream,JUNIOR_SCOOP_60GMS
Dates & Chocolate Eggless,Ice Cream,MINI_TUB_200ML
Dates & Chocolate Eggless,Ice Cream,REGULAR_SCOOP_120GMS
Dates & Chocolate Eggless,Ice Cream,REGULAR_TUB_300ML
Dates Rose & Nuts Ice Cream,Ice Cream,MINI_TUB_160GMS
Dates Rose & Nuts Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS
Dates With Fig & Orange,Ice Cream,FAMILY_TUB_500GMS
Dates With Fig & Orange,Ice Cream,JUNIOR_SCOOP_60GMS
Dates With Fig & Orange,Ice Cream,MINI_TUB_160GMS
Dates With Fig & Orange,Ice Cream,MINI_TUB_200ML
Dates With Fig & Orange,Ice Cream,REGULAR_SCOOP_120GMS
Dates With Fig & Orange,Ice Cream,REGULAR_TUB_220GMS
Dates With Fig & Orange Eggless,Ice Cream,FAMILY_TUB_700ML
Dates With Fig & Orange Eggless,Ice Cream,FAMILY_TUB_725ML
Dates With Fig & Orange Eggless,Ice Cream,MINI_TUB_200ML
Dates With Fig & Orange Eggless,Ice Cream,REGULAR_SCOOP_120GMS
Dates With Fig & Orange Eggless,Ice Cream,REGULAR_TUB_300ML
Design Family Pack Of 3 Ice Creams,Combo,FAMILY_PACK_3X200ML
Design Your Indulgence Duo,Combo,DUO_200ML_200ML
