raw_name,cleaned_name,type,variant,is_verified
Bean-to-bar 70% Dark Chocolate Ice Cream (Perfect Plenty (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Monkey Business Ice Cream (Perfect Plenty (300ml)),Monkey Business Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Monkey Business Ice Cream (Regular Tub (300ml)),Monkey Business Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Boston Cream Pie Dessert(2pcs),Boston Cream Pie,Dessert,2_PIECES,True
Eggless Chocolate Ice Cream (Regular Tub (300ml)),Eggless Just Chocolate,Ice Cream,REGULAR_TUB_300ML,True
Classic Chocolate Lamington (2pcs),Classic Chocolate Lamington,Dessert,2_PIECES,True
Eggless Banoffee Ice Cream (Perfect Plenty (300ml)),Eggless Banoffee Ice Cream,Ice Cream,PERFECT_PLENTY_300ML,True
Bean-to-bar Dark Chocolate Ice Cream (Regular Tub (300ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Classic Tiramisu,Classic Tiramisu,Dessert,1_PIECE,True
Eggless Coffee Mascarpone Ice Cream (Regular Tub (300ml)),Eggless Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_TUB_300ML,True
Design Your Indulgence Duo Ice Creams (200ml+200ml),Design Your Indulgence Duo,Combo,DUO_200ML_200ML,True
Eggless Strawberry Cream Cheese Ice Cream 200ml,Eggless Strawberry Cream Cheese Ice Cream,Ice Cream,MINI_TUB_200ML,True
Bean-to-bar 70% Dark Chocolate Ice Cream 200ml,Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Bean-to-bar Chocolate Dark Ice Cream (Mini tub (200ml)),Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,MINI_TUB_200ML,True
Coffee Mascarpone Ice Cream (Regular Scoop),Coffee Mascarpone Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,True
Cup,Cup,Extra,1_PIECE,True
