parent_cluster_name,parent_cluster_type,child_cluster_name,menu_item_id,variant_id,source_item_id,source_item_kind,item_row_count,addon_row_count,raw_name_count,raw_names,mapping_is_verified,historical_merged_source_names
3 Flavors In One Tub Combo,Combo,1_PIECE,fc297634-f3c1-5338-be48-6f97c5a7eda8,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1297923934,item,2,0,1,3 Flavors In One Tub Combo,True,
400 Pidge/Porter Delivery Charges,Extra,1_PIECE,44e6d9e4-0f2c-5d7d-836e-f56cd159da98,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1284364696,item,2,0,1,400 Pidge/porter Delivery Charges,True,
500 Pidge/Porter Delivery Charges,Extra,1_PIECE,3c445385-49aa-5403-b9ca-61098199438d,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1284364697,item,2,0,1,500 Pidge/porter Delivery Charges,True,
Affogato,Dessert,1_PIECE,6da65f92-f7f1-54ba-ac3d-9055901159e6,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1288318311,item,49,0,1,Affogato,True,
Alphonso Mango Ice Cream,Ice Cream,PERFECT_PLENTY_200GMS,332c5870-4847-510b-b78f-9e880ddca033,0a41ed3b-37e4-540b-bc5c-407631835802,2033,item,1,0,1,Alphonso Mango Ice Cream (Perfect Plenty (200gms)),True,Alphonso Mango Ice Cream
Alphonso Mango Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS,332c5870-4847-510b-b78f-9e880ddca033,b747b32a-ee01-59b9-b443-75581bb57863,1282581589,item,1,0,1,Alphonso Mango Ice Cream (Regular),True,Alphonso Mango Ice Cream
Americano,Drinks,1_PIECE,f26d1392-a216-540e-8a84-3615e579ed86,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1296937113,item,23,0,1,Americano,True,
Assorted Cookie Duo ( Dark Chocolate + Choco Chip ),Dessert,1_PIECE,d225afda-6dee-5301-9188-f297124e6dd4,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1291692108,item,4,0,1,Assorted Cookie Duo ( Dark Chocolate (1pc) + Choco Chip (1pc) ),True,
Banoffee Ice Cream,Ice Cream,1_PIECE,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,2dada6d8-2592-57a0-8543-564b6bbe294e,unknown,0,0,0,,True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,1285047341,item,12,0,2,Banoffee Ice Cream (Junior Scoop (60gm)) | Eggless Banoffee Ice Cream (Junior Scoop),True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,54290380,addon,0,35,2,Banoffee (60gm) | Eggless Banoffee Ice Cream Small Scoop,True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,7449dbb6-75ef-5e31-a0ab-a84c75401451,unknown,0,0,0,,True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,e4d57a7d-d262-5fd8-98cb-62ae69804b8d,f7fb56db-3163-5a15-9911-53d5732f081a,unknown,0,0,0,,True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Banoffee Ice Cream,Ice Cream,MINI_TUB_160GMS,4ea8d0a8-f4a7-5ba2-8d04-dae39188c24a,a1df2a57-b94a-56db-b890-3cba1e7aa15c,a8ae68f7-1613-5128-b1c9-f7b5316e0301,unknown,0,0,0,,True,Banoffee (60gm) | Banoffee Sample | Eggless Banoffee Ice Cream
Bean-to-Bar Dark Chocolate Ice Cream,Ice Cream,FAMILY_TUB_725ML,1dc994ab-1d71-5a0e-88e3-2156390b68cd,b43993c2-8f3b-541e-af64-c9599eba6e7d,1282581600,item,46,0,9,Bean-to-Bar 70% Dark Chocolate Ice Cream (Family Feast (725ml)) | Bean-to-Bar Dark Chocolate Ice Cream (Family Tub (725ml)) | Bean-to-bar 70% Dark Chocolate Ice Cream (Family Feast (725ml)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (500gms)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (700ml)) | Bean-to-bar Chocolate Dark Ice Cream (Family Tub (725ml)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (500gms)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (700ml)) | Bean-to-bar Dark Chocolate Ice Cream (Family Tub (725ml)),True,Bean-to-Bar 70% Dark Chocolate Ice Cream | Bean-to-Bar Dark Chocolate (60gm)
