parent_cluster_name,parent_cluster_type,child_cluster_name,menu_item_id,variant_id,source_item_id,source_item_kind,item_row_count,addon_row_count,raw_name_count,raw_names,mapping_is_verified,historical_merged_source_names
400 Pidge/Porter Delivery Charges,Extra,1_PIECE,44e6d9e4-0f2c-5d7d-836e-f56cd159da98,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1284364696,item,2,0,1,400 Pidge/porter Delivery Charges,True,
500 Pidge/Porter Delivery Charges,Extra,1_PIECE,3c445385-49aa-5403-b9ca-61098199438d,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1284364697,item,2,0,1,500 Pidge/porter Delivery Charges,True,
Butter Waffle Cone [2 Pieces],Extra,1_PIECE,98ada5cf-2346-5469-8dd8-d5c7563310ad,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,f6a4c580-c0e1-58d7-9f51-413650c33215,unknown,0,0,0,,False,
Butter Waffle Cones,Extra,1_PIECE,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1293080163,item+addon,89,566,2,Butter Waffle Cones (1pcs) | Waffle Cone,True,Butter Waffle Cone | Butter Waffle Cone [2 Pieces] | Mapping audit: Butter Waffle Cones — 1_PIECE | Mapping audit: Butter Waffle Cones — 2_PIECES | Waffle Cone
Butter Waffle Cones,Extra,2_PIECES,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,5f354550-0f38-58c3-ad16-97672a66817d,1293079875,item,33,0,1,Butter Waffle Cones (2pcs),True,Butter Waffle Cone | Butter Waffle Cone [2 Pieces] | Mapping audit: Butter Waffle Cones — 1_PIECE | Mapping audit: Butter Waffle Cones — 2_PIECES | Waffle Cone
Butter Waffle Cones,Extra,2_PIECES,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,5f354550-0f38-58c3-ad16-97672a66817d,59023334,addon,0,16,1,Butter Waffle Cone (2pcs),True,Butter Waffle Cone | Butter Waffle Cone [2 Pieces] | Mapping audit: Butter Waffle Cones — 1_PIECE | Mapping audit: Butter Waffle Cones — 2_PIECES | Waffle Cone
Cup,Extra,1_PIECE,be5401e4-e641-5142-b743-26d27541553c,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,53392899,addon,0,927,1,Cup,True,Mapping audit: Cup — 1_PIECE
Hot Chocolate Fudge Sauce,Extra,250GMS,69b53068-1808-5967-a7b4-6d827ae0098b,41b9844c-f8f1-543a-8f80-fec32f9f18e3,1293968811,item,1,0,1,Hot Chocolate Fudge Sauce (250gm),True,
Hot Chocolate Fudge Sauce 50gm,Extra,1_PIECE,68e9f641-0d12-5699-bda0-0fc452640a25,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1298471396,item,17,0,1,Hot Chocolate Fudge Sauce 50gm,True,
Large Box Thermocol And Dry Ice Packaging,Extra,1_PIECE,35135dfb-b56a-53ba-a515-ce7c5cd1fe88,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1288951244,item,1,0,1,Large Box Thermocol And Dry Ice Packaging,True,
Special Packaging Dryice Charges,Extra,1_PIECE,bfe1428c-d522-5895-8d0a-eef5a506065b,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,1284364698,item,3,0,2,Special Packaging Dryice Charges | Special Packaging Thermocol Charges,True,
Takeaway Cup,Extra,1_PIECE,09b68ead-5d03-5f9d-8e35-0aa8467f7c32,f8b92f1e-8f3b-5a1c-8615-215dd0b3a4cc,58647656,addon,0,15,1,Takeaway Cup,True,Mapping audit: Takeaway Cup — 1_PIECE
