name,type,variant
"400 Pidge Porter Delivery Charges',",EXTRA,1_PIECE
"500 Pidge Porter Delivery Charges',",EXTRA,1_PIECE
"Affogato',",DESSERT,1_PIECE
"Alphonso Mango Ice Cream )',",ICE_CREAM,200_GMS
"Alphonso Mango Ice Cream ',",ICE_CREAM,1_PIECE
"Americano',",DESSERT,1_PIECE
"Assorted Cookie Duo  + Choco Chip  )',",DESSERT,1_PIECE
"Banoffee Ice Cream )',",ICE_CREAM,500_GMS
"Banoffee Ice Cream )',",ICE_CREAM,60_GM
"Banoffee Ice Cream )',",ICE_CREAM,160_GMS
"Banoffee Ice Cream )',",ICE_CREAM,160_GMS
"Banoffee Ice Cream )',",ICE_CREAM,120_GM
"Banoffee Ice Cream )',",ICE_CREAM,220_GMS
"Bean-to-Bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Bean-to-Bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,200_GMS
"Bean-to-Bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Bean-to-Bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,325_ML
"Bean-to-Bar Dark Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Bean-to-Bar Dark Chocolate Ice Cream )',",ICE_CREAM,220_GMS
"Bean-to-Bar Dark Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Bean-to-bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Bean-to-bar 70% Dark Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Bean-to-bar Chocolate 70% Dark Ice Cream )',",ICE_CREAM,200_ML
"Bean-to-bar Chocolate 70% Dark Ice Cream )',",ICE_CREAM,300_ML
"Bean-to-bar Chocolate 70% Dark Ice Cream ',",ICE_CREAM,PERFECT_PLENTY
"Bean-to-bar Chocolate 70% Dark Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,700_ML
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,725_ML
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,60_GM
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,160_GMS
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,200_ML
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,120_GM
"Bean-to-bar Chocolate Dark Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,220_GMS
"Bean-to-bar Chocolate Dark Ice Cream )',",ICE_CREAM,300_ML
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,500_GMS
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,700_ML
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,725_ML
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,160_GMS
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,220_GMS
"Bean-to-bar Dark Chocolate Ice Cream )',",ICE_CREAM,300_ML
"Boston Cream Pie Dessert',",DESSERT,2_PIECES
"Boston Cream Pie',",DESSERT,1_PIECE
"Boston Cream Pie',",DESSERT,2_PIECES
"""Brownie & Vanilla Ice Cream With Fudge Sauce. It's Classic !"",",ICE_CREAM,1_PIECE
"Brownie Cheesecake',",DESSERT,1_PIECE
"Butter Waffle Cones ',",EXTRA,1_PIECE
"Butter Waffle Cones ',",EXTRA,2_PIECES
"Cakes & Cookies Ice Cream )',",ICE_CREAM,725_ML
"Cakes & Cookies Ice Cream )',",ICE_CREAM,700_ML
"Cakes & Cookies Ice Cream )',",ICE_CREAM,725_ML
"Cakes & Cookies Ice Cream ',",ICE_CREAM,JUNIOR_SCOOP
"Cakes & Cookies Ice Cream )',",ICE_CREAM,160_GMS
"Cakes & Cookies Ice Cream )',",ICE_CREAM,160_GMS
"Cakes & Cookies Ice Cream )',",ICE_CREAM,200_ML
"Cakes & Cookies Ice Cream )',",ICE_CREAM,300_ML
"Cakes & Cookies Ice Cream )',",ICE_CREAM,120_GM
"Cakes & Cookies Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Cakes & Cookies Ice Cream )',",ICE_CREAM,220_GMS
"Cakes & Cookies Ice Cream )',",ICE_CREAM,300_ML
"Cakes & Cookies Ice Cream )',",ICE_CREAM,300_ML
"Cappuccino',",DESSERT,1_PIECE
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,500_GMS
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,60_GM
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,160_GMS
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,160_GMS
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,120_GM
"Cherry & Chocolate Fudge Ice Cream )',",ICE_CREAM,220_GMS
"Choco Chunk Cookie ',",DESSERT,2_PIECES
"Choco Chunk Cookie',",DESSERT,1_PIECE
"Chocolate & Orange  )',",DESSERT,60_GM
"Chocolate & Orange  )',",DESSERT,160_GMS
"Chocolate & Orange  )',",DESSERT,160_GMS
"Chocolate & Orange  )',",DESSERT,120_GM
"Chocolate & Orange  )',",DESSERT,220_GMS
"Chocolate & Orange  Ice Cream )',",ICE_CREAM,160_GMS
"Chocolate & Orange  Ice Cream )',",ICE_CREAM,220_GMS
"Chocolate & Orange  Ice Cream )',",ICE_CREAM,160_GMS
"Chocolate Overload )',",DESSERT,500_GMS
"Chocolate Overload )',",DESSERT,160_GMS
"Chocolate Overload )',",DESSERT,220_GMS
"Chocolate Overload Ice Cream )',",ICE_CREAM,500_GMS
"Chocolate Overload Ice Cream )',",ICE_CREAM,160_GMS
"Chocolate Overload Ice Cream )',",ICE_CREAM,220_GMS
"Classic Brownie & Ice Cream With Fudge Sauce',",ICE_CREAM,1_PIECE
"Classic Brownie & Vanilla Ice Cream With Fudge Sauce',",ICE_CREAM,1_PIECE
"Classic Brownie & Vanilla Ice Cream With Fudge Sauce',",ICE_CREAM,1_PIECE
"Classic Chocolate Lamington ',",DESSERT,1_PIECE
"Classic Chocolate Lamington ',",DESSERT,2_PIECES
"Classic Night & Day Duo Ice Creams ',",ICE_CREAM,200_ML
"Classic Night & Day Duo',",COMBO,1_PIECE
"Classic Tiramisu',",DESSERT,1_PIECE
"Coconut & Pineapple Ice Cream )',",ICE_CREAM,160_GMS
"Coconut & Pineapple Ice Cream )',",ICE_CREAM,220_GMS
"Coffee Banana Cheesecake',",DESSERT,1_PIECE
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,725_ML
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,500_GMS
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,700_ML
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,725_ML
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,60_GM
"Coffee Mascarpone Ice Cream ',",ICE_CREAM,JUNIOR_SCOOP
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,160_GMS
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,160_GMS
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,200_ML
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,300_ML
"Coffee Mascarpone Ice Cream ',",ICE_CREAM,PERFECT_PLENTY
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,120_GM
"Coffee Mascarpone Ice Cream ',",ICE_CREAM,REGULAR_SCOOP
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,220_GMS
"Coffee Mascarpone Ice Cream )',",ICE_CREAM,300_ML
"Cream Cheese Fruit Medley Cake',",DESSERT,1_PIECE
"Curious Creations Duo',",COMBO,1_PIECE
"Curious Creations Duo Ice Creams ',",ICE_CREAM,200_ML
"Custom Diwali Cookie Set',",DESSERT,1_PIECE
"Customised Ice Cream Cake',",ICE_CREAM,1_PIECE
"D&N Traditional Plum Cake  Contains Alcohol',",DESSERT,1_PIECE
"D&n Traditional Plum Cake  310gm Contains Alcohol',",DESSERT,310_GM
"D&n Traditional Plum Cake  325gm Contains Alcohol',",DESSERT,325_GM
"D&n Traditional Plum Cake  Contains Alcohol',",DESSERT,1_PIECE
"Dark Double Chocolate Cookie',",DESSERT,2_PIECES
"Dates & Chocolate )',",DESSERT,500_GMS
"Dates & Chocolate )',",DESSERT,60_GM
"Dates & Chocolate )',",DESSERT,160_GMS
"Dates & Chocolate )',",DESSERT,160_GMS
"Dates & Chocolate )',",DESSERT,120_GM
"Dates & Chocolate )',",DESSERT,220_GMS
"Dates & Chocolate Eggless )',",DESSERT,700_ML
"Dates & Chocolate Eggless )',",DESSERT,725_ML
"Dates & Chocolate Eggless ',",DESSERT,JUNIOR_SCOOP
"Dates & Chocolate Eggless )',",DESSERT,200_ML
"Dates & Chocolate Eggless ',",DESSERT,REGULAR_SCOOP
