merge_id,merged_at,payload_kind,source_id,source_name,source_type,target_id_at_event,target_name_at_event,current_target_id,current_target_name,current_target_type,variant_assignments,affected_source_item_count,affected_source_item_ids,source_item_kinds,item_row_count,addon_row_count,raw_name_count,raw_names,mapping_rows_count,order_item_rows_count,order_item_addons_count
62,2026-04-11 10:23:02,resolution_variant_v1,332c5870-4847-510b-b78f-9e880ddca033,Alphonso Mango Ice Cream,Ice Cream,332c5870-4847-510b-b78f-9e880ddca033,Alphonso Mango Ice Cream,332c5870-4847-510b-b78f-9e880ddca033,Alphonso Mango Ice Cream,Ice Cream,REGULAR_SCOOP_120GMS -> PERFECT_PLENTY_200GMS,1,2033,item+addon,1,1,2,Alphonso Mango Ice Cream (Perfect Plenty (200gms)) | Eggless Coffee Mascarpone Ice Cream 200ml,1,1,0
61,2026-04-11 10:23:02,resolution_variant_v1,c9b75532-8b1c-5a96-bf9d-1bf64d857f5a,Eggless Coffee Mascarpone Ice Cream,Ice Cream,1b1a56f0-7e0a-5f7c-93b7-9543004db816,Coffee Mascarpone Ice Cream,1b1a56f0-7e0a-5f7c-93b7-9543004db816,Coffee Mascarpone Ice Cream,Ice Cream,JUNIOR_SCOOP_60GMS -> JUNIOR_SCOOP_60GMS,4,03993ebd-77e2-5d35-80f4-26bf37737865 | 1285048012 | 2a373e6d-15af-593c-b34b-0a999a41b01d | 54290615,addon | item,11,13,4,Coffee Mascarpone (60gm) | Coffee Mascarpone Ice Cream (Junior Scoop (60gm)) | Coffee Mascarpone Ice Cream (Junior Scoop) | Coffee Mascarpone Small Scoop,4,11,13
60,2026-04-11 10:09:10,legacy_merge_v1,9fd98a50-8d69-5fbc-84c1-1f61dac4db05,Butter Waffle Cone,Extra,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,Butter Waffle Cones,ea85deb5-d9a0-5db9-8ff0-5452fc2e9c2b,Butter Waffle Cones,Extra,,3,59023334 | 59023335 | d212bd81-115b-5b7a-8c95-cdcce01175ab,addon,0,16,1,Butter Waffle Cone (2pcs),3,0,0
59,2026-04-11 08:44:37,legacy_merge_v1,0cb4d3fb-7cd8-573c-b2f4-cc42e5ac843c,Lemongrass Ginger & Lemon Jam Ice Cream,Ice Cream,8b5194fc-8f8e-59ee-9367-e4d63f1a39a4,"Lemongrass, Ginger & Lemon Jam Ice Cream",8b5194fc-8f8e-59ee-9367-e4d63f1a39a4,"Lemongrass, Ginger & Lemon Jam Ice Cream",Ice Cream,,1,797299fd-04bd-58e8-a065-831c635bc130,,0,0,0,,1,0,0
58,2026-04-11 08:43:53,legacy_merge_v1,c0e5aa7e-9349-5cdb-aed8-66abd920d5d3,Lemongrass Ginger Sample,Ice Cream,0cb4d3fb-7cd8-573c-b2f4-cc42e5ac843c,0cb4d3fb-7cd8-573c-b2f4-cc42e5ac843c,8b5194fc-8f8e-59ee-9367-e4d63f1a39a4,"Lemongrass, Ginger & Lemon Jam Ice Cream",Ice Cream,,0,,,0,0,0,,0,0,0
57,2026-04-11 08:36:04,resolution_variant_v1,a42d8a0a-c7ce-5169-8828-a5301c592f39,Sunshine Limone (60gm),Ice Cream,a8546c3d-fda9-56dc-a578-11585845e21f,Sunshine Limone Ice Cream,a8546c3d-fda9-56dc-a578-11585845e21f,Sunshine Limone Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,418096f0-17d0-5825-a10e-299802eccf40,,0,0,0,,1,0,1
56,2026-04-11 08:34:22,resolution_variant_v1,38385410-5af4-562f-8032-219bf8a9f0b0,Strawberry Cream Cheese (60gm),Ice Cream,a69e1017-d393-55c3-bedb-3c1ee47863de,Strawberry Cream Cheese Ice Cream,a69e1017-d393-55c3-bedb-3c1ee47863de,Strawberry Cream Cheese Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,b67c517d-d57f-5e07-a65c-c861a5550f72,,0,0,0,,1,0,1
55,2026-04-11 08:34:09,resolution_variant_v1,0563f0e8-644c-59b8-b410-7e940445d629,Rose Cardamom (60gm),Ice Cream,0563f0e8-644c-59b8-b410-7e940445d629,Rose Cardamom (60gm),0563f0e8-644c-59b8-b410-7e940445d629,Rose Cardamom (60gm),Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,91372e6b-d5c7-53a4-8f7c-32204722f35e,,0,0,0,,1,0,1
54,2026-04-11 08:33:53,resolution_variant_v1,e4fae705-53c5-51a7-bfaf-5786be026735,Pistachio Ice Cream (60gm),Ice Cream,2998b13f-df5c-591e-b432-c0068d41af92,Pistachio Ice Cream,2998b13f-df5c-591e-b432-c0068d41af92,Pistachio Ice Cream,Ice Cream,1_PIECE -> JUNIOR_SCOOP_60GMS,1,ce64affb-58bc-5225-9e49-28282a3fa8d3,,0,0,0,,1,0,2
53,2026-04-11 08:33:28,resolution_variant_v1,fef2c1f1-8e3f-5efb-97b2-a2acd37b0488,Orange With Orange Jam Ice Cream,Ice Cream,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,40ad4449-a346-58aa-b244-0e948b030f27,Orange With Orange Jam,Ice Cream,REGULAR_TUB_220GMS -> REGULAR_TUB_220GMS,1,1302246704,item,30,0,1,Orange With Orange Jam Ice Cream (Regular Tub (220gms)),1,4,0
